year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,9,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",232.00,37.00,18.33,1.76,7.02,0.00,9.89,2.00,1.00,1829.00,827.00,125.00,260.00,0.00,617.00
2013,9,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",56.00,13.00,6.29,0.00,1.72,0.00,4.99,0.00,0.00,868.00,457.00,0.00,54.00,0.00,357.00
2013,9,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",171.00,29.00,13.97,1.12,5.69,0.00,8.22,1.00,0.00,1406.00,720.00,151.00,216.00,0.00,319.00
2013,9,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",85.00,19.00,6.74,0.80,4.41,0.00,7.05,0.00,0.00,790.00,205.00,53.00,188.00,0.00,344.00
2013,9,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",55.00,15.00,5.81,2.00,1.40,0.00,5.80,0.00,0.00,735.00,286.00,210.00,40.00,0.00,199.00
2013,9,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International",84.00,19.00,9.65,0.55,4.84,0.00,3.96,0.00,1.00,1132.00,555.00,41.00,244.00,0.00,292.00
2013,9,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",56.00,16.00,6.83,0.13,1.34,0.00,7.69,0.00,0.00,1180.00,339.00,38.00,37.00,0.00,766.00
2013,9,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",144.00,35.00,17.79,0.69,6.98,0.00,9.53,1.00,0.00,2118.00,1154.00,34.00,188.00,0.00,742.00
2013,9,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",85.00,21.00,10.24,0.00,3.81,0.00,6.95,0.00,0.00,778.00,380.00,0.00,119.00,0.00,279.00
2013,9,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",114.00,27.00,12.24,1.53,2.38,0.00,10.86,1.00,0.00,1782.00,709.00,166.00,114.00,0.00,793.00
2013,9,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",196.00,48.00,18.27,0.15,14.05,0.00,15.54,0.00,1.00,2153.00,745.00,9.00,453.00,0.00,946.00
2013,9,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",115.00,20.00,7.62,0.07,1.91,0.00,10.41,1.00,0.00,904.00,318.00,14.00,66.00,0.00,506.00
2013,9,AA,American Airlines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",69.00,13.00,8.75,0.00,2.40,0.00,1.84,0.00,0.00,781.00,517.00,0.00,65.00,0.00,199.00
2013,9,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",85.00,29.00,12.67,0.83,5.83,0.00,9.67,1.00,0.00,1705.00,911.00,54.00,169.00,0.00,571.00
2013,9,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",353.00,45.00,20.31,3.31,3.91,0.47,17.00,0.00,0.00,2913.00,871.00,347.00,138.00,32.00,1525.00
2013,9,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,81.00,81.00,0.00,0.00,0.00,0.00
2013,9,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2013,9,9E,Endeavor Air Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",28.00,7.00,1.21,0.00,2.03,0.00,3.75,0.00,0.00,430.00,142.00,0.00,127.00,0.00,161.00
2013,9,AA,American Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",56.00,10.00,6.24,0.56,0.27,0.00,2.93,0.00,0.00,630.00,407.00,62.00,31.00,0.00,130.00
2013,9,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",90.00,15.00,4.52,0.03,3.16,0.00,7.29,0.00,0.00,762.00,154.00,4.00,301.00,0.00,303.00
2013,9,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",56.00,12.00,2.01,0.00,1.85,0.00,8.14,0.00,0.00,368.00,84.00,0.00,43.00,0.00,241.00
2013,9,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",60.00,12.00,6.18,0.09,1.03,0.00,4.70,0.00,0.00,677.00,260.00,14.00,42.00,0.00,361.00
2013,9,AA,American Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",90.00,12.00,6.90,0.68,0.87,0.00,3.55,0.00,0.00,724.00,378.00,94.00,45.00,0.00,207.00
2013,9,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",145.00,27.00,10.54,0.85,9.04,0.00,6.57,0.00,1.00,1183.00,666.00,66.00,242.00,0.00,209.00
2013,9,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",29.00,10.00,4.79,0.00,3.03,0.00,2.18,1.00,0.00,559.00,247.00,0.00,120.00,0.00,192.00
2013,9,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",56.00,12.00,5.14,0.00,1.68,0.00,5.18,0.00,0.00,644.00,224.00,0.00,103.00,0.00,317.00
2013,9,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",30.00,5.00,2.69,0.00,1.31,0.00,1.00,0.00,0.00,111.00,59.00,0.00,35.00,0.00,17.00
2013,9,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",38.00,16.00,5.55,0.00,9.93,0.00,0.52,0.00,0.00,534.00,272.00,0.00,237.00,0.00,25.00
2013,9,AA,American Airlines Inc.,STX,"Christiansted, VI: Henry E. Rohlsen",30.00,3.00,2.82,0.00,0.00,0.00,0.18,0.00,0.00,310.00,294.00,0.00,0.00,0.00,16.00
2013,9,AA,American Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",58.00,14.00,5.22,1.41,1.74,0.00,5.64,0.00,0.00,696.00,232.00,146.00,93.00,0.00,225.00
2013,9,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",116.00,27.00,13.35,1.33,2.71,0.00,9.61,1.00,0.00,1446.00,902.00,47.00,162.00,0.00,335.00
2013,9,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",115.00,35.00,16.99,1.17,9.26,0.00,7.58,0.00,0.00,1484.00,653.00,151.00,233.00,0.00,447.00
2013,9,AA,American Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",86.00,22.00,11.67,1.66,4.21,0.00,4.47,0.00,0.00,998.00,563.00,37.00,140.00,0.00,258.00
2013,9,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",29.00,5.00,3.63,0.00,0.04,0.00,1.34,0.00,0.00,295.00,203.00,0.00,3.00,0.00,89.00
2013,9,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",3932.00,460.00,95.45,4.79,207.70,4.25,147.81,14.00,3.00,21391.00,6172.00,285.00,5926.00,103.00,8905.00
2013,9,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",120.00,13.00,2.23,0.00,9.77,0.00,1.00,0.00,1.00,594.00,119.00,0.00,430.00,0.00,45.00
2013,9,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",60.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,90.00,28.00,0.00,62.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",551.00,89.00,19.96,0.94,61.55,0.00,6.56,0.00,1.00,3148.00,1195.00,35.00,1681.00,0.00,237.00
2013,9,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",59.00,9.00,2.73,0.86,4.41,0.00,1.00,0.00,0.00,320.00,129.00,38.00,128.00,0.00,25.00
2013,9,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",120.00,15.00,5.14,0.00,8.31,0.00,1.55,0.00,0.00,747.00,371.00,0.00,338.00,0.00,38.00
2013,9,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",147.00,19.00,6.84,1.09,10.57,0.00,0.50,0.00,0.00,934.00,230.00,20.00,673.00,0.00,11.00
2013,9,AS,Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",29.00,1.00,0.86,0.00,0.14,0.00,0.00,0.00,1.00,22.00,19.00,0.00,3.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",915.00,95.00,17.33,0.13,45.88,0.00,31.65,0.00,0.00,4118.00,945.00,13.00,1143.00,0.00,2017.00
2013,9,AS,Alaska Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",60.00,6.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,153.00,37.00,17.00,99.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",30.00,2.00,0.69,0.00,1.31,0.00,0.00,0.00,0.00,92.00,20.00,0.00,72.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",56.00,2.00,1.67,0.00,0.33,0.00,0.00,1.00,0.00,67.00,55.00,0.00,12.00,0.00,0.00
2013,9,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1238.00,116.00,27.01,2.90,24.11,5.46,56.52,5.00,1.00,4520.00,1253.00,88.00,596.00,106.00,2477.00
2013,9,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport",80.00,11.00,7.41,0.00,1.96,0.96,0.67,0.00,0.00,431.00,353.00,0.00,42.00,26.00,10.00
2013,9,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",77.00,14.00,1.47,0.20,6.26,0.00,6.07,3.00,0.00,349.00,43.00,3.00,141.00,0.00,162.00
2013,9,AS,Alaska Airlines Inc.,SCC,"Deadhorse, AK: Deadhorse Airport",77.00,10.00,2.15,1.00,3.57,0.00,3.28,0.00,4.00,251.00,53.00,50.00,62.00,0.00,86.00
2013,9,AS,Alaska Airlines Inc.,FAI,"Fairbanks, AK: Fairbanks International",322.00,18.00,7.15,1.47,6.14,0.00,3.24,0.00,1.00,665.00,314.00,28.00,144.00,0.00,179.00
2013,9,AS,Alaska Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez",93.00,14.00,5.02,0.00,2.32,0.00,6.65,0.00,0.00,1098.00,416.00,0.00,83.00,0.00,599.00
2013,9,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International",342.00,40.00,9.03,3.10,11.91,0.00,15.96,1.00,2.00,2160.00,367.00,213.00,351.00,0.00,1229.00
2013,9,AS,Alaska Airlines Inc.,KTN,"Ketchikan, AK: Ketchikan International",202.00,32.00,10.60,3.62,5.99,0.00,11.79,1.00,2.00,2017.00,760.00,278.00,148.00,0.00,831.00
2013,9,AS,Alaska Airlines Inc.,CDV,"Cordova, AK: Merle K Mudhole Smith",60.00,7.00,2.39,0.00,1.78,0.00,2.83,0.00,0.00,197.00,80.00,0.00,46.00,0.00,71.00
2013,9,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport",60.00,7.00,1.02,0.74,1.65,0.00,3.59,0.00,0.00,188.00,19.00,17.00,33.00,0.00,119.00
2013,9,AS,Alaska Airlines Inc.,PSG,"Petersburg, AK: Petersburg James A Johnson",60.00,13.00,2.03,2.35,1.31,0.76,6.55,2.00,0.00,767.00,115.00,149.00,52.00,16.00,435.00
2013,9,AS,Alaska Airlines Inc.,WRG,"Wrangell, AK: Wrangell Airport",60.00,11.00,1.20,1.71,1.55,0.00,6.54,0.00,2.00,697.00,39.00,122.00,41.00,0.00,495.00
